,Height
1298,69.70225751
358,66.76210992
2698,72.10029956
2389,73.10605905
2453,67.70533285
1721,71.19658688
76,71.80918689
1055,70.88748661
279,69.28592141
17,63.97432572
3499,67.39602078
346,71.41904963
538,71.32700107
229,71.84843485
564,65.29243478
1949,74.43050131
411,67.58394143
1558,73.4461872
1236,71.33782073
2246,65.1939877
495,72.88170697
2535,71.61647581
1128,69.29416757
650,73.10087624
985,66.47376597
3331,67.63921455
3007,67.80204383
2626,67.17137404
1210,68.06637804
897,66.57798671
3282,68.08498674
1735,68.56085411
1080,63.17859731
184,71.93588658
1898,72.43950075
30,68.61811055
596,65.66755448
1242,73.12200631
1655,68.8610815
1586,66.27613841
2657,70.12788739
387,70.54924202
881,65.71817875
1134,62.92194889
410,68.76245756
2500,61.0744871
1509,67.78060168
170,68.48187536
325,68.59666269
1789,72.18599228
2442,68.96436673
289,65.19437712
2251,64.48539029
2225,70.22277824
1902,61.76450938
2601,64.82807152
1313,67.61221973
2431,66.38357602
893,66.37651933
450,69.67012402
33,69.1801611
166,66.26282004
3488,63.27589919
1765,68.50326101
3095,70.11909775
461,66.67678112
2998,65.73888272
2861,69.10198331
969,66.11122914
3436,67.17823441
2984,67.96293514
2770,69.3803027
1255,65.20653293
2759,70.30977776
1662,71.22182822
3139,63.72025952
1937,67.06412395
1455,67.59189464
2586,69.13003825
2522,65.20452194
2666,71.15471676
2880,70.43473903
108,69.18220268
1029,66.19800895
1966,67.65910955
862,70.32255001
318,73.71652763
59,70.01336535
2574,73.18107491
1350,73.57328408
1742,69.0340651
1233,69.21201113
3413,69.16398887
2091,64.25974739
765,69.60028264
1436,67.55419805
1231,71.35078258
829,69.83865708
1163,70.71103014
3010,64.95081171
727,63.40042323
867,68.69999563
3012,67.94278509
220,68.12276836
2495,67.50296648
582,69.77015095
1507,71.14078856
2958,71.77374399
2063,67.96813278
56,68.35305665
187,71.85112915
2805,71.89221787
2014,78.99874235
2367,62.30743853
3461,70.06577387
468,71.28444139
1094,71.10562694
1553,68.51599909
2186,67.42751473
226,64.85579918
535,70.97268413
1578,69.04386662
3230,68.41195285
2471,72.96316116
2624,63.72472687
2458,70.89251934
1991,63.70326374
3048,70.19241426
1022,70.07932331
2800,73.39098706
69,68.89670607
734,68.61948497
1613,69.75483418
3178,71.89066467
3371,70.03076215
376,67.2472352
436,73.18104362
2356,67.25919794
2543,69.07131434
1583,71.91211901
208,70.96655044
1187,65.25247915
565,61.75400983
313,67.88055919
601,67.11556435
233,71.47610128
940,64.92590896
2834,69.02297414
3321,74.06687892
12,64.76632913
111,68.19068401
2758,66.5597304
2587,68.05002578
2289,67.80360374
925,64.90978524
1706,66.70498045
1330,69.5666933
472,68.99254357
1017,67.19943211
831,72.81103161
1995,66.65949285
1105,74.66919682
3500,72.73897
1037,69.0848968
1743,68.63976982
2739,68.4840293
1057,73.56929781
1565,68.09887366
655,65.22469166
1611,73.57529577
361,67.4868239
135,71.00189769
2826,70.87782625
2538,67.77763687
2847,75.28284701
2641,65.52163299
366,72.9870702
2172,68.16610633
2236,66.65652059
29,68.49641536
2913,68.07178728
22,66.14913196
2935,70.4036733
1221,71.68034778
1461,72.12882568
1226,65.83165439
695,70.67969103
1270,68.25635599
700,69.76009479
420,69.68979533
682,69.509488
1907,72.16236709
460,69.67906022
43,66.09017738
87,68.95153509
1385,70.50592738
3426,70.39687903
1760,67.90442161
561,71.4692208
282,66.01442823
3117,70.8995167
3410,68.99068034
1429,69.38201738
3322,66.67790154
3359,65.36216531
465,71.05863335
1552,70.83715856
3451,68.57813131
859,66.74447747
533,72.79702836
3429,68.31247832
2857,68.13842635
3185,68.74364712
2629,70.09857714
2748,71.61782407
2787,68.57268425
1421,68.36806631
2476,69.58728008
2369,63.71495133
3449,72.26832264
1161,68.24300184
999,67.6666641
2258,68.53658272
903,67.87895388
637,73.09647798
3453,68.77721499
1064,71.51370053
978,67.65294548
1606,62.58697166
2567,70.24665423
3365,68.76864464
1222,66.35174153
2418,64.49772595
1474,68.88689528
221,66.78692724
543,72.13199022
1667,69.56662234
2241,64.72162222
887,66.82084589
2510,69.32618896
685,72.45463342
3293,67.67385858
965,69.07281082
2171,65.32533032
2377,71.12082662
2390,69.5580519
789,73.1411551
3088,64.0683621
1737,72.05520702
1546,67.94057835
3433,69.74148135
1398,70.25225274
1403,63.39905918
1074,70.12376143
2298,71.35320878
1732,67.59016823
272,71.23391139
3254,69.90708058
521,70.15827765
522,68.92333665
2064,66.87778335
1491,69.72685973
2335,66.39285493
2605,67.97905689
3306,71.52403774
350,66.16636328
1258,67.25589414
1513,73.85366268
1450,68.00260444
2942,72.06318034
1200,64.68669106
2776,71.22342339
1174,67.27719753
651,70.66199203
2910,68.14398254
1123,63.81097455
1132,69.09056319
3022,68.9146226
3245,65.03578583
2129,70.13694723
2545,65.51954144
2004,69.43764789
2564,70.17147875
168,65.53069597
2917,63.78640194
1904,71.4777451
3249,71.44719367
3020,60.21701856
803,70.40400168
2503,71.76882246
962,68.60571056
945,69.54951057
462,72.96166547
2900,64.14969589
2043,71.23403578
1288,68.40086738
2943,72.70722408
1106,67.32371432
1268,66.83885298
1972,67.78453796
2611,65.38609473
219,64.66523194
367,69.56323228
3030,66.55028818
3063,69.88345085
549,69.31290864
2661,62.18292852
2712,72.05532404
2112,69.2844188
351,67.272143
2037,72.28439692
772,69.14590899
2269,69.15511404
3298,69.81609947
490,68.79298442
3137,69.92371421
2762,68.14164184
498,71.08008356
2144,71.472998
210,68.58927044
1788,67.94562981
435,70.46668931
365,66.47639701
1052,71.33392078
276,62.600248
3131,66.46737814
3227,64.93574441
407,71.34380763
3147,71.42288707
1089,69.38563588
844,71.52704769
2633,68.37453089
1113,70.02080933
3039,68.74698552
2850,70.56945509
3036,69.91509254
1862,70.59838073
1135,68.85015225
1926,68.96188761
1261,66.38977872
2530,67.27329355
944,70.81126171
199,71.15605349
1334,68.39010874
2501,69.57359157
801,63.00978308
2113,67.36206427
1377,67.72695642
